Date,UserName,Komentar,Like
2025-06-16T12:11:01Z,@ahmadgias2856,Buang jungler nya rrq,0
2025-06-16T12:09:40Z,@Selvianiiiii.45,"Caster nya berat sebelah , untung onic mental juara bukan mental runnep up 💀",0
2025-06-16T12:06:31Z,@asrulacul9853,.😅😅😅😅😅,0
2025-06-16T11:56:29Z,@MuhammadFadhilFaturrahman-k8f,Wkwkwk sutsujin di tutorin Joy Ama kairi,0
2025-06-16T11:31:24Z,@kunjbiharipainkra4178,Jangan ngaku gaul kalau belum pernah mampir ke ⭐ALEXIS17⭐!,13
2025-06-16T11:30:32Z,@MuhsamMuhsam-h5c,"Ingat ya kata AWL, Raja dari segala raja yang harus tunduk yang masih belum bisa menggapai tinggi nya langit, karena di langit masih ada onic 😅🤣🤣",0
2025-06-16T11:29:26Z,@JungkookNaisya,CHMAJINARU. CHMANAR. CHIMAJINARI082129IMPROVE0831555COMEDY08966WITH085315ERNEST08121908313PRAKASR0853148. 97:16BOOYAH0821299DAY08311143GAMEPLA0831555SPESILA083166.2025.2026BR0838565CS08195945.QWERT.YUIOP.ASDFG.HJLKZ.XXX.XCVBN.NM56RTA0821299.GUFJV085315ALAT081219083136GLOO0853148GAMEPLA0822FGC0812136MALL08966GLO0838565TASJIRO0821299🤣🤣🤣🪀🪀🦅🦅🥰🥰🥰🥰😂😂😂⚽⚽⚽⚽🦅🦅🦅🦅🛴🛴🛴🛴🏑🏑🏑🪁🪁🪁🦅🦅🦅🦅⚽⚽⚽⚽🤣🤣🤣( ✧Д✧) YES!!( ✧Д✧) YES!!( ✧Д✧) YES!!☆(ﾉ◕ヮ◕)ﾉ*☆(ﾉ◕ヮ◕)ﾉ*☆(ﾉ◕ヮ◕)ﾉ*(≡^∇^≡)(≡^∇^≡)(≡^∇^≡)o(〃＾▽＾〃)oo(〃＾▽＾〃)oo(〃＾▽＾〃)oo(〃＾▽＾〃)oo(〃＾▽＾〃)oo(〃＾▽＾〃)oo(〃＾▽＾〃)oo(〃＾▽＾〃)oo(〃＾▽＾〃)oo(〃＾▽＾〃)oo(〃＾▽＾〃)oo(〃＾▽＾〃)oo(〃＾▽＾〃)oo(〃＾▽＾〃)oo(〃＾▽＾〃)oo(〃＾▽＾〃)oo(〃＾▽＾〃)o˙˚ʚ(´◡`)ɞ˚˙o(〃＾▽＾〃)oo(〃＾▽＾〃)oo(〃＾▽＾〃)oo(〃＾▽＾〃)oo(〃＾▽＾〃)oo(〃＾▽＾〃)oo(〃＾▽＾〃)oPLAYOEES0821299IMAJINARI08966DE56RTARUNG085315DEM!0821299BOYAHP0853148DVG0838565.6TIOP08966NINJUNG08315555.CBVHC.CKNHVH.GLBJBJV.CKBHVH08966FHVH0821299FBVV0831555FB H. FKNJBB083166FBVV081959,1
2025-06-16T11:29:10Z,@razin3243,Rambut nnael😂😂,0
2025-06-16T11:27:36Z,@yannafebriant6620,Nice rrq Pertahankan terus runerup nya,0
2025-06-16T11:17:21Z,@Telur_Saudara,"Onic 7x final dalam 8 musim terakhir, 6x juara, 1x runner up.. benar-benar mendominasi MPL Indo. 👍",1
